generation,max_reward,avg_reward,best_steps,avg_steps,best_mutRate
0,0.5340849310702771,0.0761292703855807,0.1,0.10000000000000088,0.2175942932691557
1,0.6479030370423029,0.1938224187985472,0.12,0.11364000000000073,0.5380918240598491
2,0.6479030370423029,0.3262929181286207,0.12,0.12280000000000059,0.5380918240598491
3,0.6479030370423029,0.4081345346363045,0.12,0.1301200000000004,0.5380918240598491
4,0.6691144805456298,0.4663277073844567,0.14,0.13424000000000003,0.8899864112606061
5,0.7562485196819386,0.5338541524623288,0.2,0.14092000000000027,0.4037806887897423
6,0.8021396686034833,0.5780710782175121,0.2,0.13152000000000025,0.39218399711762314
7,0.8021396686034833,0.6202533861951212,0.2,0.13324000000000025,0.39218399711762314
8,0.8021396686034835,0.6574007086107364,0.2,0.13483999999999977,0.35672742099914045
9,0.823860878956826,0.6788674918203847,0.2,0.1356400000000004,0.39692689346111776
10,0.8892461665564825,0.6944287577161447,0.22,0.12244000000000017,0.4861529894706228
11,0.8916838972274377,0.7187292875980313,0.22,0.13040000000000004,0.733849398621982
12,0.8956383312083936,0.7387769241343565,0.2,0.1306400000000002,0.5075452740750329
13,0.9166472941662404,0.7467836973908016,0.22,0.12692000000000064,0.8128259329146814
14,0.9573769226856951,0.7943340022868186,0.22,0.14752000000000043,0.7219287237936792
15,0.9812993590783978,0.8122443421079407,0.2,0.14892000000000005,0.3183883371074489
16,0.9875561709528743,0.8270664976821234,0.22,0.1510000000000001,0.8902943777407656
17,1.0,0.8405821355729022,0.22,0.14831999999999948,0.6674261304315954
18,1.0,0.8273110564424946,0.22,0.1394800000000005,0.6674261304315954
19,1.0,0.8213703184402736,0.22,0.13488000000000036,0.6674261304315954
20,1.0,0.8652342339683,0.22,0.1547600000000003,0.6674261304315954
21,1.0,0.8650613722017372,0.22,0.14975999999999945,0.6674261304315954
22,1.0,0.9290187191453245,0.14,0.17364000000000032,0.7490812673379026
23,1.0,0.9071744556172415,0.14,0.16236000000000003,0.7490812673379026
24,1.0,0.913188245529751,0.14,0.1760799999999991,0.7490812673379026
25,1.0,0.9846537127444834,0.14,0.20799999999999896,0.7490812673379026
26,1.0,0.9962804429067403,0.14,0.2115599999999991,0.7490812673379026
27,1.0,0.992235196351404,0.14,0.20371999999999915,0.7490812673379026
28,1.0,0.9822563422708287,0.14,0.18259999999999957,0.7490812673379026
29,1.0,0.9906996988049348,0.14,0.15664000000000014,0.7490812673379026
30,1.0,0.9988959559906191,0.14,0.13972000000000048,0.7490812673379026
31,1.0,0.9967072319150065,0.12,0.13924000000000047,0.9280762300346496
32,1.0,0.9923168744683485,0.12,0.13820000000000046,0.9280762300346496
33,1.0,0.9793007136735685,0.12,0.13620000000000046,0.9280762300346496
34,1.0,0.987895132281996,0.12,0.13660000000000047,0.9280762300346496
35,1.0,0.9830149604828408,0.12,0.1349600000000004,0.9280762300346496
